All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_8bins_1_MP  r10_8bins_1_MP_helen  r10_8bins_1_r1_medaka  r10_8bins_1_r2_medaka  r10_8bins_1_racon_r1  r10_8bins_1_racon_r2  r10_8bins_1_raw  r10_8bins_2_MP  r10_8bins_2_MP_helen  r10_8bins_2_r1_medaka  r10_8bins_2_r2_medaka  r10_8bins_2_racon_r1  r10_8bins_2_racon_r2  r10_8bins_2_raw  r10_8bins_3_MP  r10_8bins_3_MP_helen  r10_8bins_3_r1_medaka  r10_8bins_3_r2_medaka  r10_8bins_3_racon_r1  r10_8bins_3_racon_r2  r10_8bins_3_raw
# misassembled contigs       1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length  4045595         4045615               4045602                4045598                4045293               4045319               4043044          4045596         4045616               4045587                4045593                4045258               4045323               4042479          4045596         4045613               4045582                4045587                4045248               4045358               4043002        
# local misassemblies        13              13                    13                     13                     13                    13                    17               13              13                    13                     13                     13                    13                    18               13              13                    13                     13                     13                    13                    18             
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     5              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 7 part     
Unaligned length             19977211        19974489              19974622               19967791               19963276              19957481              20003057         19976807        19973097              19975527               19965729               19964534              19957683              19998569         19976786        19974934              19976292               19967772               19965261              19957756              20001515       
Genome fraction (%)          99.999          99.999                99.999                 99.999                 99.999                99.999                99.995           99.999          99.999                99.999                 99.999                 99.999                99.999                99.983           99.998          99.998                99.998                 99.998                 99.998                99.998                99.993         
Duplication ratio            1.028           1.028                 1.028                  1.028                  1.028                 1.028                 1.018            1.028           1.028                 1.028                  1.028                  1.028                 1.028                 1.019            1.028           1.027                 1.028                  1.028                  1.027                 1.028                 1.019          
# N's per 100 kbp            0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00             0.00            0.00                  0.00                   0.00                   0.00                  0.00                  0.00           
# mismatches per 100 kbp     97.52           95.57                 97.57                  96.29                  99.93                 97.27                 83.48            97.75           95.47                 95.59                  95.87                  97.32                 98.38                 87.48            97.92           93.08                 94.34                  96.17                  95.01                 99.68                 86.84          
# indels per 100 kbp         11.16           11.09                 10.61                  10.69                  21.53                 19.62                 104.80           11.37           11.21                 10.39                  10.59                  21.65                 19.64                 102.88           11.19           11.14                 10.66                  10.56                  21.43                 19.95                 104.95         
Largest alignment            788615          788613                788616                 788616                 788567                788553                788102           788681          788686                788689                 788690                 788627                788641                788152           788615          788614                788616                 788617                 788527                788545                788047         
Total aligned length         4097269         4095975               4097268                4096298                4097800               4096344               4057979          4097225         4095697               4095851                4095970                4095959               4096601               4060859          4097620         4094282               4095476                4096663                4094637               4097896               4058962        
NGA50                        315065          315071                315065                 315065                 315033                315039                314886           329482          329468                329465                 329464                 329440                329450                329346           329413          329412                329411                 329410                 329372                329391                329314         
NGA75                        257049          257054                257054                 257050                 257021                257026                256904           257049          257052                257051                 257052                 257023                257034                256896           257049          257054                257050                 257051                 257034                257028                256898         
LGA50                        5               5                     5                      5                      5                     5                     5                4               4                     4                      4                      4                     4                     4                4               4                     4                      4                      4                     4                     4              
LGA75                        8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
