S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	42379	42213	1	sa_ill_sa_contig18	contig_103	99.35		True
56	7137	1028179	1021095	sa_ill_sa_contig36	contig_103	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	1028180	1126820	sa_ill_sa_contig11	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	1128144	1126821	sa_ill_sa_contig48	contig_103	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	1128145	1351541	sa_ill_sa_contig1	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	1351542	1352025	sa_ill_sa_contig65	contig_103	99.07		True
fake: not a misassembly [fragmentation of reference genome]
56	720	1353808	1353144	sa_ill_sa_contig60	contig_103	98.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
124942	125486	1354353	1353809	sa_ill_sa_contig10	contig_103	93.17		True
translocation
1	63338	1354354	1417722	sa_ill_sa_contig13	contig_103	99.8		True
local misassembly
63108	66060	1417723	1420677	sa_ill_sa_contig13	contig_103	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	41771	1462479	1420678	sa_ill_sa_contig19	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	177172	1462668	1639900	sa_ill_sa_contig4	contig_103	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	50729	1639901	1690645	sa_ill_sa_contig16	contig_103	99.81		True
fake: not a misassembly [fragmentation of reference genome]
78271	134302	1746750	1690708	sa_ill_sa_contig7	contig_103	99.8		True
local misassembly
1	78138	1824806	1746751	sa_ill_sa_contig7	contig_103	99.67		True
fake: not a misassembly [fragmentation of reference genome]
55	207093	2031796	1824819	sa_ill_sa_contig3	contig_103	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	211909	2243770	2031797	sa_ill_sa_contig2	contig_103	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	3261	2243971	2247234	sa_ill_sa_contig42	contig_103	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
4	718	2247950	2247235	sa_ill_sa_contig58	contig_103	99.87		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	56123	2247951	2303985	sa_ill_sa_contig15	contig_103	99.61		True
local misassembly
55995	56123	2304133	2304260	sa_ill_sa_contig15	contig_103	98.45		True
translocation
203	3323	2304437	2307558	sa_ill_sa_contig41	contig_103	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	2307855	2309456	sa_ill_sa_contig8	contig_103	99.65		True
translocation
1	3323	2309457	2312780	sa_ill_sa_contig41	contig_103	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	1703	2313110	2314811	sa_ill_sa_contig8	contig_103	99.77		True
translocation
688	925	2314825	2315077	sa_ill_sa_contig51	contig_103	94.07		True
fake: not a misassembly [fragmentation of reference genome]
1	38352	2315218	2353584	sa_ill_sa_contig23	contig_103	99.85		True
local misassembly
38187	38352	2353677	2353842	sa_ill_sa_contig23	contig_103	98.8		True
local misassembly
38161	38352	2353930	2354120	sa_ill_sa_contig23	contig_103	95.31		True
translocation
203	3323	2354213	2357328	sa_ill_sa_contig41	contig_103	99.49		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	2357716	2359363	sa_ill_sa_contig8	contig_103	99.71		True
translocation
1	41074	2359364	2400456	sa_ill_sa_contig20	contig_103	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	2400483	2402057	sa_ill_sa_contig47	contig_103	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	2404898	2402058	sa_ill_sa_contig44	contig_103	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	2404925	2411616	sa_ill_sa_contig37	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	2411617	2412328	sa_ill_sa_contig55	contig_103	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	2426696	2412329	sa_ill_sa_contig33	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	2431691	2426697	sa_ill_sa_contig39	contig_103	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	2482421	2431692	sa_ill_sa_contig17	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	44268	2482422	2526658	sa_ill_sa_contig12	contig_103	99.67		True
local misassembly
43758	70357	2526659	2553267	sa_ill_sa_contig12	contig_103	99.32		True
indel: indel (> 5bp) [fragmentation of reference genome]
98340	98561	2553489	2553268	sa_ill_sa_contig11	contig_103	98.08		True
local misassembly
98057	98213	2553646	2553490	sa_ill_sa_contig11	contig_103	98.58		True
translocation
1	21042	2574704	2553647	sa_ill_sa_contig31	contig_103	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	142808	2717774	2574858	sa_ill_sa_contig6	contig_103	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	2717775	2718307	sa_ill_sa_contig63	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
42380	43683	2719612	2718308	sa_ill_sa_contig18	contig_103	99.77		True
CONTIG	contig_103	2719612	misassembled
497	577	286084	286164	sa_ill_sa_contig41	contig_83	92.59		True
unknown
589	1151	286176	286738	sa_ill_sa_contig41	contig_83	93.25		True
unknown
1158	1540	286745	287127	sa_ill_sa_contig41	contig_83	94.78		True
unknown
1559	1639	287147	287227	sa_ill_sa_contig41	contig_83	97.53		True
unknown
1871	2057	287457	287643	sa_ill_sa_contig41	contig_83	90.37		True
unknown
2099	2316	287690	287907	sa_ill_sa_contig41	contig_83	91.74		True
unknown
2614	2917	288207	288510	sa_ill_sa_contig41	contig_83	93.09		True
unknown
2985	3136	288579	288730	sa_ill_sa_contig41	contig_83	92.11		True
unknown
38	1590	289146	290696	sa_ill_sa_contig8	contig_83	90.88		True
unknown
497	577	292103	292183	sa_ill_sa_contig41	contig_83	92.59		True
unknown
589	1151	292195	292757	sa_ill_sa_contig41	contig_83	93.25		True
unknown
1158	1540	292764	293146	sa_ill_sa_contig41	contig_83	94.78		True
unknown
1559	1639	293166	293246	sa_ill_sa_contig41	contig_83	97.53		True
unknown
1871	2057	293476	293662	sa_ill_sa_contig41	contig_83	90.37		True
unknown
2099	2316	293709	293926	sa_ill_sa_contig41	contig_83	91.74		True
unknown
2614	2917	294226	294529	sa_ill_sa_contig41	contig_83	93.09		True
unknown
2985	3136	294598	294749	sa_ill_sa_contig41	contig_83	92.11		True
unknown
38	1590	295165	296715	sa_ill_sa_contig8	contig_83	90.82		True
unknown
497	577	529654	529734	sa_ill_sa_contig41	contig_83	92.59		True
unknown
589	1151	529746	530308	sa_ill_sa_contig41	contig_83	93.25		True
unknown
1158	1540	530315	530697	sa_ill_sa_contig41	contig_83	94.78		True
unknown
1559	1639	530717	530797	sa_ill_sa_contig41	contig_83	97.53		True
unknown
1871	2057	531027	531213	sa_ill_sa_contig41	contig_83	90.37		True
unknown
2099	2316	531260	531477	sa_ill_sa_contig41	contig_83	91.74		True
unknown
2614	2917	531777	532080	sa_ill_sa_contig41	contig_83	93.09		True
unknown
2985	3136	532149	532300	sa_ill_sa_contig41	contig_83	92.11		True
unknown
38	1590	532967	534517	sa_ill_sa_contig8	contig_83	90.82		True
unknown
20320	20490	581941	582111	sa_ill_sa_contig15	contig_83	90.64		True
unknown
20702	20898	582323	582519	sa_ill_sa_contig15	contig_83	90.86		True
unknown
38	1590	1079306	1077756	sa_ill_sa_contig8	contig_83	90.82		True
unknown
2985	3136	1080124	1079973	sa_ill_sa_contig41	contig_83	92.11		True
unknown
2614	2917	1080496	1080193	sa_ill_sa_contig41	contig_83	93.09		True
unknown
2099	2316	1081013	1080796	sa_ill_sa_contig41	contig_83	91.74		True
unknown
1871	2057	1081246	1081060	sa_ill_sa_contig41	contig_83	90.37		True
unknown
1559	1639	1081556	1081476	sa_ill_sa_contig41	contig_83	97.53		True
unknown
1158	1540	1081958	1081576	sa_ill_sa_contig41	contig_83	94.78		True
unknown
589	1151	1082527	1081965	sa_ill_sa_contig41	contig_83	93.25		True
unknown
497	577	1082619	1082539	sa_ill_sa_contig41	contig_83	92.59		True
unknown
38	1590	1677819	1676269	sa_ill_sa_contig8	contig_83	90.82		True
unknown
2985	3136	1678386	1678235	sa_ill_sa_contig41	contig_83	92.11		True
unknown
2614	2917	1678758	1678455	sa_ill_sa_contig41	contig_83	93.09		True
unknown
2099	2316	1679275	1679058	sa_ill_sa_contig41	contig_83	91.74		True
unknown
1871	2057	1679508	1679322	sa_ill_sa_contig41	contig_83	90.37		True
unknown
1559	1639	1679818	1679738	sa_ill_sa_contig41	contig_83	97.53		True
unknown
1158	1540	1680220	1679838	sa_ill_sa_contig41	contig_83	94.78		True
unknown
589	1151	1680789	1680227	sa_ill_sa_contig41	contig_83	93.25		True
unknown
497	577	1680881	1680801	sa_ill_sa_contig41	contig_83	92.59		True
unknown
38	1590	1782496	1780946	sa_ill_sa_contig8	contig_83	90.82		True
unknown
2985	3136	1783063	1782912	sa_ill_sa_contig41	contig_83	92.11		True
unknown
2614	2917	1783435	1783132	sa_ill_sa_contig41	contig_83	93.09		True
unknown
2099	2316	1783952	1783735	sa_ill_sa_contig41	contig_83	91.74		True
unknown
1871	2057	1784185	1783999	sa_ill_sa_contig41	contig_83	90.37		True
unknown
1559	1639	1784495	1784415	sa_ill_sa_contig41	contig_83	97.53		True
unknown
1158	1540	1784897	1784515	sa_ill_sa_contig41	contig_83	94.78		True
unknown
589	1151	1785466	1784904	sa_ill_sa_contig41	contig_83	93.25		True
unknown
497	577	1785558	1785478	sa_ill_sa_contig41	contig_83	92.59		True
unknown
CONTIG	contig_83	2992084	mis_unaligned
492	565	1501588	1501661	sa_ill_sa_contig51	contig_86	93.24		True
unknown
589	679	1501662	1501752	sa_ill_sa_contig51	contig_86	90.11		True
unknown
691	765	1501760	1501834	sa_ill_sa_contig51	contig_86	97.33		True
unknown
788	861	1501842	1501915	sa_ill_sa_contig51	contig_86	97.3		True
unknown
497	3301	1502973	1505779	sa_ill_sa_contig41	contig_86	90.0		True
unknown
35	1591	1505951	1507505	sa_ill_sa_contig8	contig_86	91.96		True
unknown
35	1591	2581421	2579867	sa_ill_sa_contig8	contig_86	92.03		True
unknown
2615	2916	2582457	2582156	sa_ill_sa_contig41	contig_86	93.38		True
unknown
1867	2316	2583206	2582757	sa_ill_sa_contig41	contig_86	90.89		True
unknown
497	1540	2584576	2583533	sa_ill_sa_contig41	contig_86	94.25		True
unknown
35	1591	2602033	2600479	sa_ill_sa_contig8	contig_86	91.96		True
unknown
497	3301	2605188	2602382	sa_ill_sa_contig41	contig_86	90.0		True
unknown
35	1591	2662367	2660813	sa_ill_sa_contig8	contig_86	92.03		True
unknown
497	3301	2665345	2662539	sa_ill_sa_contig41	contig_86	90.0		True
unknown
35	1591	2668290	2666736	sa_ill_sa_contig8	contig_86	92.03		True
unknown
497	3301	2671268	2668462	sa_ill_sa_contig41	contig_86	90.0		True
unknown
35	1591	2732832	2731278	sa_ill_sa_contig8	contig_86	91.9		True
unknown
2615	2916	2733691	2733390	sa_ill_sa_contig41	contig_86	93.38		True
unknown
1867	2316	2734440	2733991	sa_ill_sa_contig41	contig_86	90.89		True
unknown
497	1540	2735810	2734767	sa_ill_sa_contig41	contig_86	94.25		True
unknown
35	1591	2738445	2736891	sa_ill_sa_contig8	contig_86	91.9		True
unknown
497	3301	2741423	2738617	sa_ill_sa_contig41	contig_86	90.0		True
unknown
35	1591	2743446	2741892	sa_ill_sa_contig8	contig_86	91.9		True
unknown
2615	2916	2744305	2744004	sa_ill_sa_contig41	contig_86	93.38		True
unknown
1867	2316	2745054	2744605	sa_ill_sa_contig41	contig_86	90.67		True
unknown
497	1540	2746424	2745381	sa_ill_sa_contig41	contig_86	94.25		True
unknown
35	1591	3196918	3195364	sa_ill_sa_contig8	contig_86	92.03		True
unknown
2615	2916	3197777	3197476	sa_ill_sa_contig41	contig_86	93.38		True
unknown
1867	2316	3198526	3198077	sa_ill_sa_contig41	contig_86	90.89		True
unknown
497	1540	3199896	3198853	sa_ill_sa_contig41	contig_86	94.16		True
unknown
35	1591	3489683	3488129	sa_ill_sa_contig8	contig_86	92.03		True
unknown
2615	2916	3490542	3490241	sa_ill_sa_contig41	contig_86	93.38		True
unknown
1867	2316	3491291	3490842	sa_ill_sa_contig41	contig_86	90.89		True
unknown
497	1540	3492661	3491618	sa_ill_sa_contig41	contig_86	94.25		True
unknown
CONTIG	contig_86	4045599	mis_unaligned
497	1095	1	599	sa_ill_sa_contig41	contig_125	94.66		True
unknown
1191	1538	695	1042	sa_ill_sa_contig41	contig_125	95.11		True
unknown
2102	2316	1597	1811	sa_ill_sa_contig41	contig_125	95.35		True
unknown
2346	2414	1841	1909	sa_ill_sa_contig41	contig_125	95.65		True
unknown
3006	3134	2497	2625	sa_ill_sa_contig41	contig_125	93.8		True
unknown
3184	3302	2674	2792	sa_ill_sa_contig41	contig_125	94.12		True
unknown
38	431	3023	3416	sa_ill_sa_contig8	contig_125	90.61		True
unknown
437	551	3422	3536	sa_ill_sa_contig8	contig_125	96.52		True
unknown
561	1110	3544	4093	sa_ill_sa_contig8	contig_125	94.73		True
unknown
1136	1374	4119	4357	sa_ill_sa_contig8	contig_125	92.47		True
unknown
19874	19965	58854	58945	sa_ill_sa_contig15	contig_125	91.3		True
unknown
20204	20310	59184	59290	sa_ill_sa_contig15	contig_125	94.39		True
unknown
20351	20466	59334	59449	sa_ill_sa_contig15	contig_125	93.1		True
unknown
1136	1374	275147	274909	sa_ill_sa_contig8	contig_125	92.47		True
unknown
561	1110	275722	275173	sa_ill_sa_contig8	contig_125	94.73		True
unknown
437	551	275844	275730	sa_ill_sa_contig8	contig_125	96.52		True
unknown
38	431	276243	275850	sa_ill_sa_contig8	contig_125	90.61		True
unknown
3184	3302	276592	276474	sa_ill_sa_contig41	contig_125	94.12		True
unknown
3006	3134	276769	276641	sa_ill_sa_contig41	contig_125	93.8		True
unknown
2346	2414	277425	277357	sa_ill_sa_contig41	contig_125	95.65		True
unknown
2102	2316	277669	277455	sa_ill_sa_contig41	contig_125	95.35		True
unknown
1191	1538	278571	278224	sa_ill_sa_contig41	contig_125	95.11		True
unknown
497	1095	279265	278667	sa_ill_sa_contig41	contig_125	94.66		True
unknown
1136	1374	718270	718032	sa_ill_sa_contig8	contig_125	92.47		True
unknown
561	1110	718845	718296	sa_ill_sa_contig8	contig_125	94.73		True
unknown
437	551	718967	718853	sa_ill_sa_contig8	contig_125	96.52		True
unknown
38	431	719366	718973	sa_ill_sa_contig8	contig_125	90.61		True
unknown
3184	3302	719817	719699	sa_ill_sa_contig41	contig_125	94.12		True
unknown
3006	3134	719994	719866	sa_ill_sa_contig41	contig_125	93.8		True
unknown
2346	2414	720650	720582	sa_ill_sa_contig41	contig_125	95.65		True
unknown
2102	2316	720894	720680	sa_ill_sa_contig41	contig_125	95.35		True
unknown
1191	1538	721796	721449	sa_ill_sa_contig41	contig_125	95.11		True
unknown
497	1095	722490	721892	sa_ill_sa_contig41	contig_125	94.66		True
unknown
785	865	723511	723431	sa_ill_sa_contig51	contig_125	98.77		True
unknown
691	766	723595	723520	sa_ill_sa_contig51	contig_125	96.05		True
unknown
585	666	723699	723618	sa_ill_sa_contig51	contig_125	91.46		True
unknown
491	565	723785	723711	sa_ill_sa_contig51	contig_125	93.33		True
unknown
1136	1374	1337509	1337271	sa_ill_sa_contig8	contig_125	92.47		True
unknown
561	1110	1338084	1337535	sa_ill_sa_contig8	contig_125	94.73		True
unknown
437	551	1338206	1338092	sa_ill_sa_contig8	contig_125	96.52		True
unknown
38	431	1338605	1338212	sa_ill_sa_contig8	contig_125	90.61		True
unknown
3006	3124	1339233	1339115	sa_ill_sa_contig41	contig_125	96.64		True
unknown
2346	2414	1339889	1339821	sa_ill_sa_contig41	contig_125	95.65		True
unknown
2102	2316	1340133	1339919	sa_ill_sa_contig41	contig_125	95.35		True
unknown
1191	1538	1341035	1340688	sa_ill_sa_contig41	contig_125	95.11		True
unknown
497	1095	1341729	1341131	sa_ill_sa_contig41	contig_125	94.66		True
unknown
CONTIG	contig_125	2845424	mis_unaligned
589	1095	65128	65634	sa_ill_sa_contig41	contig_90	95.66		True
unknown
1150	1543	65689	66082	sa_ill_sa_contig41	contig_90	90.61		True
unknown
2105	2299	66637	66831	sa_ill_sa_contig41	contig_90	93.33		True
unknown
2342	2421	66874	66953	sa_ill_sa_contig41	contig_90	90.0		True
unknown
3008	3122	67543	67657	sa_ill_sa_contig41	contig_90	91.3		True
unknown
471	545	68668	68742	sa_ill_sa_contig8	contig_90	98.67		True
unknown
567	826	68762	69021	sa_ill_sa_contig8	contig_90	91.54		True
unknown
589	1095	142220	142726	sa_ill_sa_contig41	contig_90	95.66		True
unknown
1150	1543	142781	143174	sa_ill_sa_contig41	contig_90	90.61		True
unknown
2105	2299	143729	143923	sa_ill_sa_contig41	contig_90	93.33		True
unknown
2342	2421	143966	144045	sa_ill_sa_contig41	contig_90	91.25		True
unknown
3008	3122	144635	144749	sa_ill_sa_contig41	contig_90	90.43		True
unknown
471	545	145565	145639	sa_ill_sa_contig8	contig_90	98.67		True
unknown
567	826	145659	145918	sa_ill_sa_contig8	contig_90	91.54		True
unknown
496	1095	177653	178252	sa_ill_sa_contig41	contig_90	93.33		True
unknown
1150	1543	178307	178700	sa_ill_sa_contig41	contig_90	90.61		True
unknown
2105	2299	179255	179449	sa_ill_sa_contig41	contig_90	93.33		True
unknown
2342	2421	179492	179571	sa_ill_sa_contig41	contig_90	90.0		True
unknown
3008	3122	180161	180275	sa_ill_sa_contig41	contig_90	91.3		True
unknown
471	545	181090	181164	sa_ill_sa_contig8	contig_90	98.67		True
unknown
567	826	181184	181443	sa_ill_sa_contig8	contig_90	91.54		True
unknown
567	826	842886	842627	sa_ill_sa_contig8	contig_90	91.54		True
unknown
471	545	842980	842906	sa_ill_sa_contig8	contig_90	98.67		True
unknown
3008	3122	844104	843990	sa_ill_sa_contig41	contig_90	91.3		True
unknown
2342	2421	844773	844694	sa_ill_sa_contig41	contig_90	90.0		True
unknown
2105	2299	845010	844816	sa_ill_sa_contig41	contig_90	93.33		True
unknown
1150	1543	845958	845565	sa_ill_sa_contig41	contig_90	90.61		True
unknown
589	1095	846519	846013	sa_ill_sa_contig41	contig_90	95.66		True
unknown
496	1095	1657001	1657600	sa_ill_sa_contig41	contig_90	93.33		True
unknown
1150	1543	1657655	1658048	sa_ill_sa_contig41	contig_90	90.61		True
unknown
2105	2299	1658603	1658797	sa_ill_sa_contig41	contig_90	93.33		True
unknown
2342	2421	1658840	1658919	sa_ill_sa_contig41	contig_90	90.0		True
unknown
3008	3122	1659509	1659623	sa_ill_sa_contig41	contig_90	91.3		True
unknown
38	231	1660005	1660198	sa_ill_sa_contig8	contig_90	91.24		True
unknown
471	545	1660448	1660522	sa_ill_sa_contig8	contig_90	98.67		True
unknown
567	826	1660542	1660801	sa_ill_sa_contig8	contig_90	91.54		True
unknown
CONTIG	contig_90	1947348	mis_unaligned
671	900	806940	807169	sa_ill_sa_contig41	contig_92	90.87		True
unknown
1309	1402	807578	807671	sa_ill_sa_contig41	contig_92	96.81		True
unknown
455	542	810324	810411	sa_ill_sa_contig8	contig_92	90.91		True
unknown
590	729	810457	810596	sa_ill_sa_contig8	contig_92	91.43		True
unknown
769	840	810635	810706	sa_ill_sa_contig8	contig_92	95.83		True
unknown
671	900	1473242	1473471	sa_ill_sa_contig41	contig_92	90.87		True
unknown
1309	1402	1473880	1473973	sa_ill_sa_contig41	contig_92	96.81		True
unknown
455	542	1476624	1476711	sa_ill_sa_contig8	contig_92	90.91		True
unknown
590	729	1476757	1476896	sa_ill_sa_contig8	contig_92	91.43		True
unknown
769	840	1476935	1477006	sa_ill_sa_contig8	contig_92	95.83		True
unknown
769	840	1993517	1993446	sa_ill_sa_contig8	contig_92	95.83		True
unknown
590	729	1993695	1993556	sa_ill_sa_contig8	contig_92	91.43		True
unknown
455	542	1993828	1993741	sa_ill_sa_contig8	contig_92	90.91		True
unknown
1309	1402	1996732	1996639	sa_ill_sa_contig41	contig_92	96.81		True
unknown
671	900	1997370	1997141	sa_ill_sa_contig41	contig_92	90.87		True
unknown
769	840	2088611	2088540	sa_ill_sa_contig8	contig_92	95.83		True
unknown
590	729	2088789	2088650	sa_ill_sa_contig8	contig_92	91.43		True
unknown
455	542	2088922	2088835	sa_ill_sa_contig8	contig_92	90.91		True
unknown
1309	1402	2091666	2091573	sa_ill_sa_contig41	contig_92	96.81		True
unknown
671	900	2092304	2092075	sa_ill_sa_contig41	contig_92	90.87		True
unknown
769	840	2243849	2243778	sa_ill_sa_contig8	contig_92	95.83		True
unknown
590	729	2244027	2243888	sa_ill_sa_contig8	contig_92	91.43		True
unknown
455	542	2244160	2244073	sa_ill_sa_contig8	contig_92	90.91		True
unknown
1309	1402	2247063	2246970	sa_ill_sa_contig41	contig_92	96.81		True
unknown
671	900	2247700	2247471	sa_ill_sa_contig41	contig_92	90.87		True
unknown
769	840	2286762	2286691	sa_ill_sa_contig8	contig_92	95.83		True
unknown
590	729	2286940	2286801	sa_ill_sa_contig8	contig_92	91.43		True
unknown
455	542	2287073	2286986	sa_ill_sa_contig8	contig_92	90.91		True
unknown
1309	1402	2289818	2289725	sa_ill_sa_contig41	contig_92	96.81		True
unknown
671	900	2290456	2290227	sa_ill_sa_contig41	contig_92	90.87		True
unknown
769	840	3036319	3036248	sa_ill_sa_contig8	contig_92	95.83		True
unknown
590	729	3036497	3036358	sa_ill_sa_contig8	contig_92	91.43		True
unknown
455	542	3036630	3036543	sa_ill_sa_contig8	contig_92	90.91		True
unknown
1309	1402	3039633	3039540	sa_ill_sa_contig41	contig_92	96.81		True
unknown
671	900	3040271	3040042	sa_ill_sa_contig41	contig_92	90.87		True
unknown
CONTIG	contig_92	4758906	mis_unaligned
671	900	304189	304418	sa_ill_sa_contig41	contig_93	90.87		True
unknown
1309	1402	304826	304919	sa_ill_sa_contig41	contig_93	96.81		True
unknown
455	542	307645	307732	sa_ill_sa_contig8	contig_93	90.91		True
unknown
590	709	307778	307897	sa_ill_sa_contig8	contig_93	93.33		True
unknown
769	841	307956	308028	sa_ill_sa_contig8	contig_93	95.89		True
unknown
671	900	1012518	1012747	sa_ill_sa_contig41	contig_93	90.87		True
unknown
1309	1402	1013156	1013249	sa_ill_sa_contig41	contig_93	96.81		True
unknown
455	542	1015982	1016069	sa_ill_sa_contig8	contig_93	90.91		True
unknown
590	709	1016115	1016234	sa_ill_sa_contig8	contig_93	93.33		True
unknown
769	841	1016293	1016365	sa_ill_sa_contig8	contig_93	95.89		True
unknown
769	841	1557426	1557354	sa_ill_sa_contig8	contig_93	95.89		True
unknown
590	709	1557604	1557485	sa_ill_sa_contig8	contig_93	93.33		True
unknown
455	542	1557737	1557650	sa_ill_sa_contig8	contig_93	90.91		True
unknown
1309	1402	1560480	1560387	sa_ill_sa_contig41	contig_93	96.81		True
unknown
671	900	1561118	1560889	sa_ill_sa_contig41	contig_93	90.87		True
unknown
769	841	1651045	1650973	sa_ill_sa_contig8	contig_93	95.89		True
unknown
590	709	1651223	1651104	sa_ill_sa_contig8	contig_93	93.33		True
unknown
455	542	1651356	1651269	sa_ill_sa_contig8	contig_93	90.91		True
unknown
1309	1402	1654193	1654100	sa_ill_sa_contig41	contig_93	96.81		True
unknown
671	900	1654831	1654602	sa_ill_sa_contig41	contig_93	90.87		True
unknown
769	841	1782173	1782101	sa_ill_sa_contig8	contig_93	95.89		True
unknown
590	709	1782351	1782232	sa_ill_sa_contig8	contig_93	93.33		True
unknown
455	542	1782484	1782397	sa_ill_sa_contig8	contig_93	90.91		True
unknown
