S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_45	100.0		True
1	6686	1128637	1121946	sa_ill_sa_contig37	contig_45	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1128664	1131504	sa_ill_sa_contig44	contig_45	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1133079	1131505	sa_ill_sa_contig47	contig_45	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1174196	1133106	sa_ill_sa_contig20	contig_45	99.83		True
translocation
1	1649	1175847	1174197	sa_ill_sa_contig8	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1179355	1176235	sa_ill_sa_contig41	contig_45	99.62		True
translocation
38161	38352	1179638	1179448	sa_ill_sa_contig23	contig_45	95.31		True
local misassembly
38187	38352	1179891	1179726	sa_ill_sa_contig23	contig_45	98.8		True
local misassembly
1	38352	1218358	1179984	sa_ill_sa_contig23	contig_45	99.85		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1218750	1218498	sa_ill_sa_contig51	contig_45	94.07		True
translocation
1	1703	1220464	1218764	sa_ill_sa_contig8	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1224119	1220794	sa_ill_sa_contig41	contig_45	99.73		True
translocation
1	1604	1225720	1224120	sa_ill_sa_contig8	contig_45	99.65		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1229140	1226017	sa_ill_sa_contig41	contig_45	99.68		True
translocation
1	56123	1285619	1229592	sa_ill_sa_contig15	contig_45	99.6		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1285620	1286335	sa_ill_sa_contig58	contig_45	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1289599	1286336	sa_ill_sa_contig42	contig_45	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1289800	1501779	sa_ill_sa_contig2	contig_45	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	1501780	1708741	sa_ill_sa_contig3	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	1708754	1786801	sa_ill_sa_contig7	contig_45	99.67		True
local misassembly
78271	134302	1786802	1842845	sa_ill_sa_contig7	contig_45	99.8		True
fake: not a misassembly [fragmentation of reference genome]
21	50729	1893650	1842908	sa_ill_sa_contig16	contig_45	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	177172	2070906	1893651	sa_ill_sa_contig4	contig_45	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	41771	2071095	2112898	sa_ill_sa_contig19	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
63108	66060	2115855	2112899	sa_ill_sa_contig13	contig_45	99.41		True
local misassembly
1	63338	2179207	2115856	sa_ill_sa_contig13	contig_45	99.75		True
translocation
124942	125431	2179208	2179697	sa_ill_sa_contig10	contig_45	93.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	720	2179698	2180417	sa_ill_sa_contig60	contig_45	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2182019	2181536	sa_ill_sa_contig65	contig_45	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	2405433	2182020	sa_ill_sa_contig1	contig_45	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	2405434	2406764	sa_ill_sa_contig48	contig_45	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	2505389	2406765	sa_ill_sa_contig11	contig_45	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	2505390	2512471	sa_ill_sa_contig36	contig_45	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	2534273	2512472	sa_ill_sa_contig30	contig_45	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	2534274	2534985	sa_ill_sa_contig55	contig_45	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	2549198	2534986	sa_ill_sa_contig34	contig_45	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	2549352	2582329	sa_ill_sa_contig26	contig_45	99.82		True
local misassembly [fragmentation of reference genome]
2	925	2582534	2583453	sa_ill_sa_contig51	contig_45	97.85		True
translocation
198	3323	2584006	2587131	sa_ill_sa_contig41	contig_45	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	2587553	2589157	sa_ill_sa_contig8	contig_45	99.53		True
translocation
1	28120	2589158	2617274	sa_ill_sa_contig28	contig_45	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	2617279	2657014	sa_ill_sa_contig21	contig_45	99.87		True
local misassembly [fragmentation of reference genome]
98092	98471	2657393	2657015	sa_ill_sa_contig11	contig_45	97.97		True
translocation
1	62389	2657394	2719618	sa_ill_sa_contig14	contig_45	99.56		True
CONTIG	contig_45	2719618	misassembled
492	565	1679369	1679442	sa_ill_sa_contig51	contig_2	93.24		True
unknown
589	679	1679443	1679533	sa_ill_sa_contig51	contig_2	90.11		True
unknown
691	765	1679541	1679615	sa_ill_sa_contig51	contig_2	97.33		True
unknown
788	861	1679623	1679696	sa_ill_sa_contig51	contig_2	97.3		True
unknown
497	3301	1680754	1683560	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	1683732	1685286	sa_ill_sa_contig8	contig_2	91.96		True
unknown
35	1591	2759201	2757647	sa_ill_sa_contig8	contig_2	92.03		True
unknown
2615	2916	2760237	2759936	sa_ill_sa_contig41	contig_2	93.38		True
unknown
1867	2316	2760986	2760537	sa_ill_sa_contig41	contig_2	90.89		True
unknown
497	1540	2762356	2761313	sa_ill_sa_contig41	contig_2	94.25		True
unknown
35	1591	2779813	2778259	sa_ill_sa_contig8	contig_2	91.96		True
unknown
497	3301	2782968	2780162	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2840147	2838593	sa_ill_sa_contig8	contig_2	92.03		True
unknown
497	3301	2843125	2840319	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2846070	2844516	sa_ill_sa_contig8	contig_2	92.03		True
unknown
497	3301	2849048	2846242	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2910612	2909058	sa_ill_sa_contig8	contig_2	91.9		True
unknown
2615	2916	2911471	2911170	sa_ill_sa_contig41	contig_2	93.38		True
unknown
1867	2316	2912220	2911771	sa_ill_sa_contig41	contig_2	90.89		True
unknown
497	1540	2913590	2912547	sa_ill_sa_contig41	contig_2	94.25		True
unknown
35	1591	2916225	2914671	sa_ill_sa_contig8	contig_2	91.9		True
unknown
497	3301	2919203	2916397	sa_ill_sa_contig41	contig_2	90.0		True
unknown
35	1591	2921226	2919672	sa_ill_sa_contig8	contig_2	91.9		True
unknown
2615	2916	2922085	2921784	sa_ill_sa_contig41	contig_2	93.38		True
unknown
1867	2316	2922834	2922385	sa_ill_sa_contig41	contig_2	90.67		True
unknown
497	1540	2924204	2923161	sa_ill_sa_contig41	contig_2	94.25		True
unknown
35	1591	3374698	3373144	sa_ill_sa_contig8	contig_2	92.03		True
unknown
2615	2916	3375557	3375256	sa_ill_sa_contig41	contig_2	93.38		True
unknown
1867	2316	3376306	3375857	sa_ill_sa_contig41	contig_2	90.89		True
unknown
497	1540	3377676	3376633	sa_ill_sa_contig41	contig_2	94.16		True
unknown
35	1591	3667463	3665909	sa_ill_sa_contig8	contig_2	92.03		True
unknown
2615	2916	3668322	3668021	sa_ill_sa_contig41	contig_2	93.38		True
unknown
1867	2316	3669071	3668622	sa_ill_sa_contig41	contig_2	90.89		True
unknown
497	1540	3670441	3669398	sa_ill_sa_contig41	contig_2	94.25		True
unknown
CONTIG	contig_2	4045604	mis_unaligned
497	577	286084	286164	sa_ill_sa_contig41	contig_24	92.59		True
unknown
589	1151	286176	286738	sa_ill_sa_contig41	contig_24	93.25		True
unknown
1158	1540	286745	287127	sa_ill_sa_contig41	contig_24	94.78		True
unknown
1559	1639	287147	287227	sa_ill_sa_contig41	contig_24	97.53		True
unknown
1871	2057	287457	287643	sa_ill_sa_contig41	contig_24	90.37		True
unknown
2099	2316	287690	287907	sa_ill_sa_contig41	contig_24	91.74		True
unknown
2614	2917	288207	288510	sa_ill_sa_contig41	contig_24	93.09		True
unknown
2985	3136	288579	288730	sa_ill_sa_contig41	contig_24	92.11		True
unknown
38	1590	289146	290696	sa_ill_sa_contig8	contig_24	90.88		True
unknown
497	577	292103	292183	sa_ill_sa_contig41	contig_24	92.59		True
unknown
589	1151	292195	292757	sa_ill_sa_contig41	contig_24	93.25		True
unknown
1158	1540	292764	293146	sa_ill_sa_contig41	contig_24	94.78		True
unknown
1559	1639	293166	293246	sa_ill_sa_contig41	contig_24	97.53		True
unknown
1871	2057	293476	293662	sa_ill_sa_contig41	contig_24	90.37		True
unknown
2099	2316	293709	293926	sa_ill_sa_contig41	contig_24	91.74		True
unknown
2614	2917	294226	294529	sa_ill_sa_contig41	contig_24	93.09		True
unknown
2985	3136	294598	294749	sa_ill_sa_contig41	contig_24	92.11		True
unknown
38	1590	295165	296715	sa_ill_sa_contig8	contig_24	90.82		True
unknown
497	577	529654	529734	sa_ill_sa_contig41	contig_24	92.59		True
unknown
589	1151	529746	530308	sa_ill_sa_contig41	contig_24	93.25		True
unknown
1158	1540	530315	530697	sa_ill_sa_contig41	contig_24	94.78		True
unknown
1559	1639	530717	530797	sa_ill_sa_contig41	contig_24	97.53		True
unknown
1871	2057	531027	531213	sa_ill_sa_contig41	contig_24	90.37		True
unknown
2099	2316	531260	531477	sa_ill_sa_contig41	contig_24	91.74		True
unknown
2614	2917	531777	532080	sa_ill_sa_contig41	contig_24	93.09		True
unknown
2985	3136	532149	532300	sa_ill_sa_contig41	contig_24	92.11		True
unknown
38	1590	532967	534517	sa_ill_sa_contig8	contig_24	90.82		True
unknown
20320	20490	581941	582111	sa_ill_sa_contig15	contig_24	90.64		True
unknown
20702	20898	582323	582519	sa_ill_sa_contig15	contig_24	90.86		True
unknown
38	1590	1079306	1077756	sa_ill_sa_contig8	contig_24	90.82		True
unknown
2985	3136	1080124	1079973	sa_ill_sa_contig41	contig_24	92.11		True
unknown
2614	2917	1080496	1080193	sa_ill_sa_contig41	contig_24	93.09		True
unknown
2099	2316	1081013	1080796	sa_ill_sa_contig41	contig_24	91.74		True
unknown
1871	2057	1081246	1081060	sa_ill_sa_contig41	contig_24	90.37		True
unknown
1559	1639	1081556	1081476	sa_ill_sa_contig41	contig_24	97.53		True
unknown
1158	1540	1081958	1081576	sa_ill_sa_contig41	contig_24	94.78		True
unknown
589	1151	1082527	1081965	sa_ill_sa_contig41	contig_24	93.25		True
unknown
497	577	1082619	1082539	sa_ill_sa_contig41	contig_24	92.59		True
unknown
38	1590	1677819	1676269	sa_ill_sa_contig8	contig_24	90.82		True
unknown
2985	3136	1678386	1678235	sa_ill_sa_contig41	contig_24	92.11		True
unknown
2614	2917	1678758	1678455	sa_ill_sa_contig41	contig_24	93.09		True
unknown
2099	2316	1679275	1679058	sa_ill_sa_contig41	contig_24	91.74		True
unknown
1871	2057	1679508	1679322	sa_ill_sa_contig41	contig_24	90.37		True
unknown
1559	1639	1679818	1679738	sa_ill_sa_contig41	contig_24	97.53		True
unknown
1158	1540	1680220	1679838	sa_ill_sa_contig41	contig_24	94.78		True
unknown
589	1151	1680789	1680227	sa_ill_sa_contig41	contig_24	93.25		True
unknown
497	577	1680881	1680801	sa_ill_sa_contig41	contig_24	92.59		True
unknown
38	1590	1782496	1780946	sa_ill_sa_contig8	contig_24	90.82		True
unknown
2985	3136	1783063	1782912	sa_ill_sa_contig41	contig_24	92.11		True
unknown
2614	2917	1783435	1783132	sa_ill_sa_contig41	contig_24	93.09		True
unknown
2099	2316	1783952	1783735	sa_ill_sa_contig41	contig_24	91.74		True
unknown
1871	2057	1784185	1783999	sa_ill_sa_contig41	contig_24	90.37		True
unknown
1559	1639	1784495	1784415	sa_ill_sa_contig41	contig_24	97.53		True
unknown
1158	1540	1784897	1784515	sa_ill_sa_contig41	contig_24	94.78		True
unknown
589	1151	1785466	1784904	sa_ill_sa_contig41	contig_24	93.25		True
unknown
497	577	1785558	1785478	sa_ill_sa_contig41	contig_24	92.59		True
unknown
CONTIG	contig_24	2992085	mis_unaligned
589	1095	65129	65635	sa_ill_sa_contig41	contig_25	95.66		True
unknown
1150	1543	65690	66083	sa_ill_sa_contig41	contig_25	90.61		True
unknown
2105	2299	66638	66832	sa_ill_sa_contig41	contig_25	93.33		True
unknown
2342	2421	66875	66954	sa_ill_sa_contig41	contig_25	90.0		True
unknown
3008	3122	67544	67658	sa_ill_sa_contig41	contig_25	91.3		True
unknown
471	545	68669	68743	sa_ill_sa_contig8	contig_25	98.67		True
unknown
567	826	68763	69022	sa_ill_sa_contig8	contig_25	91.54		True
unknown
589	1095	142222	142728	sa_ill_sa_contig41	contig_25	95.66		True
unknown
1150	1543	142783	143176	sa_ill_sa_contig41	contig_25	90.61		True
unknown
2105	2299	143731	143925	sa_ill_sa_contig41	contig_25	93.33		True
unknown
2342	2421	143968	144047	sa_ill_sa_contig41	contig_25	91.25		True
unknown
3008	3122	144637	144751	sa_ill_sa_contig41	contig_25	90.43		True
unknown
471	545	145567	145641	sa_ill_sa_contig8	contig_25	98.67		True
unknown
567	826	145661	145920	sa_ill_sa_contig8	contig_25	91.54		True
unknown
496	1095	177654	178253	sa_ill_sa_contig41	contig_25	93.33		True
unknown
1150	1543	178308	178701	sa_ill_sa_contig41	contig_25	90.61		True
unknown
2105	2299	179256	179450	sa_ill_sa_contig41	contig_25	93.33		True
unknown
2342	2421	179493	179572	sa_ill_sa_contig41	contig_25	90.0		True
unknown
3008	3122	180162	180276	sa_ill_sa_contig41	contig_25	91.3		True
unknown
471	545	181091	181165	sa_ill_sa_contig8	contig_25	98.67		True
unknown
567	826	181185	181444	sa_ill_sa_contig8	contig_25	91.54		True
unknown
567	826	842888	842629	sa_ill_sa_contig8	contig_25	91.54		True
unknown
471	545	842982	842908	sa_ill_sa_contig8	contig_25	98.67		True
unknown
3008	3122	844106	843992	sa_ill_sa_contig41	contig_25	91.3		True
unknown
2342	2421	844775	844696	sa_ill_sa_contig41	contig_25	90.0		True
unknown
2105	2299	845012	844818	sa_ill_sa_contig41	contig_25	93.33		True
unknown
1150	1543	845960	845567	sa_ill_sa_contig41	contig_25	90.61		True
unknown
589	1095	846521	846015	sa_ill_sa_contig41	contig_25	95.66		True
unknown
496	1095	1657010	1657609	sa_ill_sa_contig41	contig_25	93.33		True
unknown
1150	1543	1657664	1658057	sa_ill_sa_contig41	contig_25	90.61		True
unknown
2105	2299	1658612	1658806	sa_ill_sa_contig41	contig_25	93.33		True
unknown
2342	2421	1658849	1658928	sa_ill_sa_contig41	contig_25	90.0		True
unknown
3008	3122	1659518	1659632	sa_ill_sa_contig41	contig_25	91.3		True
unknown
38	231	1660014	1660207	sa_ill_sa_contig8	contig_25	91.24		True
unknown
471	545	1660457	1660531	sa_ill_sa_contig8	contig_25	98.67		True
unknown
567	826	1660551	1660810	sa_ill_sa_contig8	contig_25	91.54		True
unknown
CONTIG	contig_25	1947367	mis_unaligned
671	900	806962	807191	sa_ill_sa_contig41	contig_35	90.87		True
unknown
1309	1402	807600	807693	sa_ill_sa_contig41	contig_35	96.81		True
unknown
455	542	810331	810418	sa_ill_sa_contig8	contig_35	90.91		True
unknown
590	729	810464	810603	sa_ill_sa_contig8	contig_35	91.43		True
unknown
769	840	810642	810713	sa_ill_sa_contig8	contig_35	95.83		True
unknown
671	900	1473276	1473505	sa_ill_sa_contig41	contig_35	90.87		True
unknown
1309	1402	1473914	1474007	sa_ill_sa_contig41	contig_35	96.81		True
unknown
455	542	1476658	1476745	sa_ill_sa_contig8	contig_35	90.91		True
unknown
590	729	1476791	1476930	sa_ill_sa_contig8	contig_35	91.43		True
unknown
769	840	1476969	1477040	sa_ill_sa_contig8	contig_35	95.83		True
unknown
769	840	1993552	1993481	sa_ill_sa_contig8	contig_35	95.83		True
unknown
590	729	1993730	1993591	sa_ill_sa_contig8	contig_35	91.43		True
unknown
455	542	1993863	1993776	sa_ill_sa_contig8	contig_35	90.91		True
unknown
1309	1402	1996767	1996674	sa_ill_sa_contig41	contig_35	96.81		True
unknown
671	900	1997405	1997176	sa_ill_sa_contig41	contig_35	90.87		True
unknown
769	840	2088642	2088571	sa_ill_sa_contig8	contig_35	95.83		True
unknown
590	729	2088820	2088681	sa_ill_sa_contig8	contig_35	91.43		True
unknown
455	542	2088953	2088866	sa_ill_sa_contig8	contig_35	90.91		True
unknown
1309	1402	2091698	2091605	sa_ill_sa_contig41	contig_35	96.81		True
unknown
671	900	2092336	2092107	sa_ill_sa_contig41	contig_35	90.87		True
unknown
769	840	2243883	2243812	sa_ill_sa_contig8	contig_35	95.83		True
unknown
590	729	2244061	2243922	sa_ill_sa_contig8	contig_35	91.43		True
unknown
455	542	2244194	2244107	sa_ill_sa_contig8	contig_35	90.91		True
unknown
1309	1402	2247097	2247004	sa_ill_sa_contig41	contig_35	96.81		True
unknown
671	900	2247734	2247505	sa_ill_sa_contig41	contig_35	90.87		True
unknown
769	840	2286796	2286725	sa_ill_sa_contig8	contig_35	95.83		True
unknown
590	729	2286974	2286835	sa_ill_sa_contig8	contig_35	91.43		True
unknown
455	542	2287107	2287020	sa_ill_sa_contig8	contig_35	90.91		True
unknown
1309	1402	2289852	2289759	sa_ill_sa_contig41	contig_35	96.81		True
unknown
671	900	2290490	2290261	sa_ill_sa_contig41	contig_35	90.87		True
unknown
769	840	3036366	3036295	sa_ill_sa_contig8	contig_35	95.83		True
unknown
590	729	3036544	3036405	sa_ill_sa_contig8	contig_35	91.43		True
unknown
455	542	3036677	3036590	sa_ill_sa_contig8	contig_35	90.91		True
unknown
1309	1402	3039680	3039587	sa_ill_sa_contig41	contig_35	96.81		True
unknown
671	900	3040318	3040089	sa_ill_sa_contig41	contig_35	90.87		True
unknown
CONTIG	contig_35	4758939	mis_unaligned
671	900	304116	304345	sa_ill_sa_contig41	contig_36	90.87		True
unknown
1309	1402	304753	304846	sa_ill_sa_contig41	contig_36	96.81		True
unknown
455	542	307572	307659	sa_ill_sa_contig8	contig_36	90.91		True
unknown
590	709	307705	307824	sa_ill_sa_contig8	contig_36	93.33		True
unknown
769	841	307883	307955	sa_ill_sa_contig8	contig_36	95.89		True
unknown
671	900	1012445	1012674	sa_ill_sa_contig41	contig_36	90.87		True
unknown
1309	1402	1013083	1013176	sa_ill_sa_contig41	contig_36	96.81		True
unknown
455	542	1015909	1015996	sa_ill_sa_contig8	contig_36	90.91		True
unknown
590	709	1016042	1016161	sa_ill_sa_contig8	contig_36	93.33		True
unknown
769	841	1016220	1016292	sa_ill_sa_contig8	contig_36	95.89		True
unknown
769	841	1556859	1556787	sa_ill_sa_contig8	contig_36	95.89		True
unknown
590	709	1557037	1556918	sa_ill_sa_contig8	contig_36	93.33		True
unknown
455	542	1557170	1557083	sa_ill_sa_contig8	contig_36	90.91		True
unknown
1309	1402	1559913	1559820	sa_ill_sa_contig41	contig_36	96.81		True
unknown
671	900	1560551	1560322	sa_ill_sa_contig41	contig_36	90.87		True
unknown
769	841	1650478	1650406	sa_ill_sa_contig8	contig_36	95.89		True
unknown
590	709	1650656	1650537	sa_ill_sa_contig8	contig_36	93.33		True
unknown
455	542	1650789	1650702	sa_ill_sa_contig8	contig_36	90.91		True
unknown
1309	1402	1653625	1653532	sa_ill_sa_contig41	contig_36	96.81		True
unknown
671	900	1654263	1654034	sa_ill_sa_contig41	contig_36	90.87		True
unknown
769	841	1781605	1781533	sa_ill_sa_contig8	contig_36	95.89		True
unknown
590	709	1781783	1781664	sa_ill_sa_contig8	contig_36	93.33		True
unknown
455	542	1781916	1781829	sa_ill_sa_contig8	contig_36	90.91		True
unknown
1309	1402	1784659	1784566	sa_ill_sa_contig41	contig_36	96.81		True
unknown
671	900	1785297	1785068	sa_ill_sa_contig41	contig_36	90.87		True
unknown
769	841	1823008	1822936	sa_ill_sa_contig8	contig_36	95.89		True
unknown
590	709	1823186	1823067	sa_ill_sa_contig8	contig_36	93.33		True
unknown
455	542	1823319	1823232	sa_ill_sa_contig8	contig_36	90.91		True
unknown
1309	1402	1826062	1825969	sa_ill_sa_contig41	contig_36	96.81		True
unknown
671	900	1826699	1826470	sa_ill_sa_contig41	contig_36	90.87		True
unknown
769	841	2470837	2470765	sa_ill_sa_contig8	contig_36	95.89		True
unknown
590	709	2471015	2470896	sa_ill_sa_contig8	contig_36	93.33		True
unknown
455	542	2471148	2471061	sa_ill_sa_contig8	contig_36	90.91		True
unknown
1309	1402	2473983	2473890	sa_ill_sa_contig41	contig_36	96.81		True
unknown
671	900	2474621	2474392	sa_ill_sa_contig41	contig_36	90.87		True
unknown
CONTIG	contig_36	4765365	mis_unaligned
19874	19965	24677	24768	sa_ill_sa_contig15	contig_50	91.3		True
unknown
20204	20310	25007	25113	sa_ill_sa_contig15	contig_50	94.39		True
unknown
20351	20466	25157	25272	sa_ill_sa_contig15	contig_50	93.1		True
unknown
1136	1374	240970	240732	sa_ill_sa_contig8	contig_50	92.47		True
unknown
561	1110	241545	240996	sa_ill_sa_contig8	contig_50	94.73		True
unknown
437	551	241667	241553	sa_ill_sa_contig8	contig_50	96.52		True
unknown
38	431	242066	241673	sa_ill_sa_contig8	contig_50	90.61		True
unknown
3184	3302	242415	242297	sa_ill_sa_contig41	contig_50	94.12		True
unknown
3006	3134	242592	242464	sa_ill_sa_contig41	contig_50	93.8		True
unknown
2346	2414	243248	243180	sa_ill_sa_contig41	contig_50	95.65		True
unknown
2102	2316	243492	243278	sa_ill_sa_contig41	contig_50	95.35		True
unknown
1191	1538	244394	244047	sa_ill_sa_contig41	contig_50	95.11		True
unknown
497	1095	245088	244490	sa_ill_sa_contig41	contig_50	94.66		True
unknown
1136	1374	684093	683855	sa_ill_sa_contig8	contig_50	92.47		True
unknown
561	1110	684668	684119	sa_ill_sa_contig8	contig_50	94.73		True
unknown
437	551	684790	684676	sa_ill_sa_contig8	contig_50	96.52		True
unknown
38	431	685189	684796	sa_ill_sa_contig8	contig_50	90.61		True
unknown
3184	3302	685640	685522	sa_ill_sa_contig41	contig_50	94.12		True
unknown
3006	3134	685817	685689	sa_ill_sa_contig41	contig_50	93.8		True
unknown
2346	2414	686473	686405	sa_ill_sa_contig41	contig_50	95.65		True
unknown
2102	2316	686717	686503	sa_ill_sa_contig41	contig_50	95.35		True
unknown
1191	1538	687619	687272	sa_ill_sa_contig41	contig_50	95.11		True
unknown
497	1095	688313	687715	sa_ill_sa_contig41	contig_50	94.66		True
unknown
785	865	689334	689254	sa_ill_sa_contig51	contig_50	98.77		True
unknown
691	766	689418	689343	sa_ill_sa_contig51	contig_50	96.05		True
unknown
585	666	689522	689441	sa_ill_sa_contig51	contig_50	91.46		True
unknown
491	565	689608	689534	sa_ill_sa_contig51	contig_50	93.33		True
unknown
1136	1374	1303332	1303094	sa_ill_sa_contig8	contig_50	92.47		True
unknown
561	1110	1303907	1303358	sa_ill_sa_contig8	contig_50	94.73		True
unknown
437	551	1304029	1303915	sa_ill_sa_contig8	contig_50	96.52		True
unknown
38	431	1304428	1304035	sa_ill_sa_contig8	contig_50	90.61		True
unknown
3006	3124	1305056	1304938	sa_ill_sa_contig41	contig_50	96.64		True
unknown
2346	2414	1305712	1305644	sa_ill_sa_contig41	contig_50	95.65		True
unknown
2102	2316	1305956	1305742	sa_ill_sa_contig41	contig_50	95.35		True
unknown
