All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1    MP_r10_2    MP_r10_3    r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1   raw_r10_2   raw_r10_3 
# scaffold gap loc. mis.     0               0               0               0           0           0           0                0                0                0                0                0                0               0               0               0               0               0               0           0           0         
# unaligned mis. contigs     6               6               6               6           6           6           6                6                6                6                6                6                6               6               6               6               6               6               6           6           6         
# unaligned contigs          0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part  0 + 7 part  0 + 7 part  0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part  0 + 7 part  0 + 7 part
Unaligned length             22079400        22080830        22079301        22082014    22083090    22082058    22083303         22085751         22082523         22083679         22085454         22083524         22080962        22080072        22079956        22079750        22078655        22079212        22108393    22106210    22104512  
Genome fraction (%)          99.934          99.858          99.934          99.943      99.943      99.943      99.926           99.928           99.934           99.922           99.870           99.886           99.908          99.913          99.902          99.901          99.815          99.845          99.869      99.861      99.867    
Duplication ratio            1.105           1.104           1.105           1.105       1.104       1.105       1.104            1.101            1.104            1.100            1.095            1.103            1.099           1.098           1.101           1.099           1.096           1.100           1.084       1.084       1.085     
# N's per 100 kbp            0.00            0.00            0.00            0.00        0.00        0.00        0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00            0.00            0.00            0.00            0.00            0.00        0.00        0.00      
# mismatches per 100 kbp     263.62          265.43          263.90          263.37      267.75      266.64      307.99           290.85           305.19           281.72           280.48           289.14           266.57          270.83          270.63          270.19          269.54          264.74          372.17      373.09      382.94    
# indels per 100 kbp         11.92           10.54           12.08           12.08       11.75       11.58       14.80            13.53            14.19            12.03            10.48            10.70            57.44           56.94           57.44           53.17           54.44           50.76           354.03      353.73      354.76    
Largest alignment            177187          177211          177186          177188      177208      177188      177182           173119           177183           177184           177198           174104           176931          173003          176990          176969          176979          174000          176965      177003      176965    
Total aligned length         1986914         1983807         1986952         1988052     1986237     1988553     1985686          1980360          1986471          1978775          1968538          1982335          1974953         1973821         1979586         1975731         1971091         1976151         1948623     1951544     1951445   
NGA50                        69796           88201           69794           81537       89790       81536       81506            89788            81506            81470            81428            81470            81445           89773           81445           81437           69433           81437           69751       69730       69751     
NGA75                        35503           35032           35504           35503       35032       35504       35504            34836            35504            35415            35033            35417            35488           34825           35488           35349           34932           35370           35172       34946       35172     
LGA50                        8               8               8               8           8           8           8                8                8                8                8                8                8               8               8               8               9               8               8           8           8         
LGA75                        18              17              18              17          17          17          17               17               17               17               17               17               17              17              17              17              18              17              18          18          18        
