Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
Unaligned length	19976670	19974023	19975788	19967939	19964250	19958899	20003263	19976186	19973604	19975379	19963794	19962985	19958024	20000351	19977705	19973861	19974462	19968421	19962187	19958630	15246396
Genome fraction (%)	99.999	99.999	99.999	99.999	99.999	99.999	99.993	99.999	99.999	99.999	99.999	99.999	99.999	99.993	99.999	99.999	99.999	99.999	99.999	99.999	99.993
Duplication ratio	1.028	1.028	1.028	1.028	1.028	1.028	1.018	1.028	1.028	1.028	1.028	1.028	1.028	1.019	1.028	1.027	1.028	1.028	1.028	1.028	1.018
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	97.87	95.36	96.09	96.22	97.02	98.60	83.05	98.40	96.07	97.70	97.55	98.65	99.30	87.47	97.12	93.73	98.85	95.74	99.55	99.10	85.46
# indels per 100 kbp	11.04	11.11	10.46	10.09	23.21	20.10	104.08	11.21	11.29	10.49	10.51	23.21	21.25	104.00	11.04	10.74	10.64	10.24	23.51	21.10	104.40
Largest alignment	788689	788691	788691	788689	788631	788620	788122	788689	788691	788691	788689	788629	788626	788119	788689	788691	788691	788689	788632	788621	788119
Total aligned length	4097279	4095632	4095878	4095800	4096149	4096289	4056663	4097573	4096083	4096884	4097023	4096877	4097302	4059912	4096806	4094392	4097289	4096090	4097355	4097252	4058202
NGA50	329474	329468	329466	329464	329426	329440	329353	329474	329470	329466	329466	329447	329449	329354	329474	329468	329466	329465	329437	329443	329354
NGA75	257050	257050	257051	257051	257017	257030	256904	257050	257052	257051	257051	257026	257025	256906	257050	257052	257051	257051	257025	257019	256906
LGA50	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
LGA75	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
