All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1    MP_r10_2    MP_r10_3    r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1   raw_r10_2   raw_r10_3 
# scaffold gap loc. mis.     0               0               0               0           0           0           0                0                0                0                0                0                0               0               0               0               0               0               0           0           0         
# unaligned mis. contigs     6               6               6               6           6           6           6                6                6                6                6                6                6               6               6               6               6               6               6           6           6         
# unaligned contigs          0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part  0 + 7 part  0 + 7 part  0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part       0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part      0 + 7 part  0 + 7 part  0 + 7 part
Unaligned length             19037503        19038179        19037191        19044228    19042871    19043951    19039034         19035704         19040429         19032199         19023615         19037445         19031850        19022978        19035297        19023685        19015199        19027551        23185721    23179076    23170795  
Genome fraction (%)          97.703          97.703          97.701          97.703      97.703      97.703      97.703           97.703           97.703           97.703           97.701           97.703           97.703          97.703          97.703          97.703          97.703          97.703          97.661      97.667      97.663    
Duplication ratio            1.077           1.076           1.077           1.076       1.076       1.076       1.077            1.077            1.077            1.077            1.077            1.076            1.076           1.077           1.076           1.077           1.077           1.077           1.058       1.059       1.061     
# N's per 100 kbp            0.00            0.00            0.00            0.00        0.00        0.00        0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00            0.00            0.00            0.00            0.00            0.00        0.00        0.00      
# mismatches per 100 kbp     438.57          432.65          438.86          435.36      436.13      437.42      442.21           442.87           438.49           442.63           442.54           438.25           439.38          451.64          434.70          452.13          452.32          445.58          484.30      484.19      503.74    
# indels per 100 kbp         17.26           18.26           18.18           20.46       20.91       20.96       15.87            15.65            15.14            15.61            15.05            14.73            36.35           36.37           36.09           32.59           33.91           33.70           236.64      238.81      238.03    
Largest alignment            1414788         1409105         1408813         1414847     1409411     1408886     1414826          1408941          1408883          1414828          1408918          1408887          1414644         1408924         1408712         1414640         1408775         1408698         1102167     1311196     1104870   
Total aligned length         5028232         5027143         5031914         5025305     5027153     5027154     5029385          5031101          5029109          5029774          5033335          5028963          5025617         5032474         5024723         5031169         5032885         5029695         4941665     4947237     4958552   
NGA50                        1102964         1103266         1105651         1102965     1103287     1103294     1102953          1103270          1103279          1102960          1105647          1103284          1102776         1103102         1103098         1102840         1103126         1103150         586489      586884      586344    
NGA75                        394044          393567          393564          394057      393568      393570      394044           393564           393559           394045           393564           393562           393993          393561          393549          394011          393550          393544          369864      376836      376858    
LGA50                        2               2               2               2           2           2           2                2                2                2                2                2                2               2               2               2               2               2               3           3           3         
LGA75                        5               5               5               5           5           5           5                5                5                5                5                5                5               5               5               5               5               5               6           6           6         
