Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# unaligned contigs	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 6 part	0 + 7 part	0 + 7 part	0 + 7 part
Unaligned length	21094534	21093007	21094962	21099150	21098261	21099468	21097110	21094764	21096732	21089872	21081977	21093488	21090751	21087724	21090506	21083807	21076351	21085887	21153285	21150527	21152169
Genome fraction (%)	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.954	99.930	99.949	99.931
Duplication ratio	1.056	1.057	1.056	1.056	1.056	1.056	1.057	1.056	1.057	1.057	1.057	1.057	1.055	1.055	1.055	1.056	1.056	1.056	1.032	1.033	1.032
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	249.18	249.89	247.34	248.12	248.68	248.22	249.68	248.72	250.99	251.88	250.78	251.88	234.03	234.60	240.45	250.03	248.76	247.94	152.00	151.55	149.73
# indels per 100 kbp	14.94	15.75	15.04	15.54	15.51	15.61	14.30	14.09	14.16	14.12	13.59	14.41	20.90	21.57	22.03	22.18	22.96	22.10	127.55	125.47	126.62
Largest alignment	2594042	2594005	2594042	2594071	2594073	2594072	2594080	2594080	2594077	2594077	2594078	2594078	2593978	2593970	2593977	2593960	2593995	2594002	2589370	2589961	2589447
Total aligned length	2972248	2972326	2971759	2971428	2971769	2971655	2972343	2972002	2972767	2973106	2972561	2972881	2967781	2967700	2969422	2972067	2971674	2971254	2907588	2908962	2907645
NGA50	2594042	2594005	2594042	2594071	2594073	2594072	2594080	2594080	2594077	2594077	2594078	2594078	2593978	2593970	2593977	2593960	2593995	2594002	2589370	2589961	2589447
NGA75	2594042	2594005	2594042	2594071	2594073	2594072	2594080	2594080	2594077	2594077	2594078	2594078	2593978	2593970	2593977	2593960	2593995	2594002	2589370	2589961	2589447
LGA50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LGA75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
