All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_1_MP  r10_1bin_1_MP_helen  r10_1bin_1_r1_medaka  r10_1bin_1_r2_medaka  r10_1bin_1_racon_r1  r10_1bin_1_racon_r2  r10_1bin_1_raw  r10_1bin_2_MP  r10_1bin_2_MP_helen  r10_1bin_2_r1_medaka  r10_1bin_2_r2_medaka  r10_1bin_2_racon_r1  r10_1bin_2_racon_r2  r10_1bin_2_raw  r10_1bin_3_MP  r10_1bin_3_MP_helen  r10_1bin_3_r1_medaka  r10_1bin_3_r2_medaka  r10_1bin_3_racon_r1  r10_1bin_3_racon_r2  r10_1bin_3_raw
# misassembled contigs       1              1                    1                     1                     1                    1                    1               1              1                    1                     1                     1                    1                    1               1              1                    1                     1                     1                    1                    1             
Misassembled contigs length  1947367        1945999              1945572               1938095               1935544              1929697              1945498         1947264        1945994              1946130               1935173               1934812              1930121              1945704         1947347        1944592              1945545               1938875               1934569              1930417              1945410       
# local misassemblies        12             14                   27                    32                    43                   41                   30              12             13                   28                    26                    42                   34                   29              11             15                   28                    26                    47                   33                   29            
# scaffold gap ext. mis.     0              0                    0                     0                     0                    0                    0               0              0                    0                     0                     0                    0                    0               0              0                    0                     0                     0                    0                    0             
# scaffold gap loc. mis.     0              0                    0                     0                     0                    0                    0               0              1                    0                     0                     0                    0                    0               0              0                    0                     0                     0                    0                    0             
# unaligned mis. contigs     6              6                    6                     6                     6                    6                    6               6              6                    6                     6                     6                    6                    6               6              6                    6                     6                     6                    6                    6             
# unaligned contigs          0 + 7 part     0 + 7 part           0 + 7 part            0 + 7 part            0 + 7 part           0 + 7 part           0 + 7 part      0 + 7 part     0 + 7 part           0 + 7 part            0 + 7 part            0 + 7 part           0 + 7 part           0 + 7 part      0 + 7 part     0 + 7 part           0 + 7 part            0 + 7 part            0 + 7 part           0 + 7 part           0 + 7 part    
Unaligned length             22082019       22079949             22084683              22084293              22078625             22077932             22111532        22082100       22079474             22085545              22081744              22080696             22079677             22110170        22082504       22080180             22084959              22085857              22078815             22079748             22111334      
Genome fraction (%)          99.936         99.870               99.927                99.931                99.912               99.901               99.862          99.943         99.879               99.863                99.919                99.849               99.906               99.881          99.943         99.794               99.879                99.890                99.869               99.873               99.863        
Duplication ratio            1.104          1.104                1.102                 1.098                 1.099                1.097                1.081           1.104          1.104                1.102                 1.097                 1.098                1.096                1.082           1.104          1.104                1.102                 1.098                 1.099                1.096                1.082         
# N's per 100 kbp            0.00           0.00                 0.00                  0.00                  0.00                 0.00                 0.00            0.00           0.04                 0.00                  0.00                  0.00                 0.00                 0.00            0.00           0.00                 0.00                  0.00                  0.00                 0.00                 0.00          
# mismatches per 100 kbp     267.38         266.45               299.34                286.46                274.38               272.08               350.56          267.03         266.98               294.37                285.67                268.11               269.46               361.70          268.64         268.21               305.58                285.14                272.17               267.33               352.78        
# indels per 100 kbp         11.70          11.65                15.19                 12.92                 57.99                51.73                350.45          12.36          10.81                14.64                 11.81                 60.19                54.45                350.38          11.75          12.32                14.86                 14.09                 56.96                56.52                351.73        
Largest alignment            177208         177205               176662                177195                176544               176771               176989          177205         177204               177197                177197                176879               177110               176985          177205         177206               177198                177198                176455               177102               177003        
Total aligned length         1988775        1984219              1981606               1974020               1978403              1973897              1945915         1986078        1984632              1983573               1975881               1976205              1967892              1945252         1986419        1982430              1981309               1973257               1975490              1970859              1946815       
NGA50                        89791          88351                89897                 89503                 89759                88942                69730           89791          88582                79489                 83605                 69716                83544                69730           89790          87200                79490                 69610                 79431                69513                69730         
NGA75                        35503          35032                34836                 34836                 34818                34819                34946           35032          35032                35502                 35032                 35016                35022                34945           35032          35032                35032                 35032                 34818                35008                34946         
LGA50                        8              8                    8                     8                     8                    8                    8               8              8                    8                     8                     9                    8                    8               8              8                    8                     9                     8                    9                    8             
LGA75                        16             17                   17                    17                    17                   17                   18              17             17                   17                    17                    18                   17                   18              17             17                   18                    18                    18                   18                   18            
