S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_101	93.31		True
1	41771	2611792	2653592	sa_ill_sa_contig19	contig_101	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
63108	66060	2656550	2653593	sa_ill_sa_contig13	contig_101	99.37		True
local misassembly
188	63338	2719745	2656551	sa_ill_sa_contig13	contig_101	99.76		True
CONTIG	contig_101	2719745	misassembled
492	565	1501588	1501661	sa_ill_sa_contig51	contig_87	93.24		True
unknown
589	679	1501662	1501752	sa_ill_sa_contig51	contig_87	90.11		True
unknown
691	765	1501760	1501834	sa_ill_sa_contig51	contig_87	97.33		True
unknown
788	861	1501842	1501915	sa_ill_sa_contig51	contig_87	97.3		True
unknown
497	3301	1502973	1505779	sa_ill_sa_contig41	contig_87	90.0		True
unknown
35	1591	1505951	1507505	sa_ill_sa_contig8	contig_87	91.84		True
unknown
35	1591	2581428	2579874	sa_ill_sa_contig8	contig_87	92.03		True
unknown
2615	2916	2582464	2582163	sa_ill_sa_contig41	contig_87	93.38		True
unknown
1867	2316	2583213	2582764	sa_ill_sa_contig41	contig_87	90.89		True
unknown
497	1540	2584583	2583540	sa_ill_sa_contig41	contig_87	94.25		True
unknown
35	1591	2602040	2600486	sa_ill_sa_contig8	contig_87	91.96		True
unknown
497	3301	2605195	2602389	sa_ill_sa_contig41	contig_87	90.0		True
unknown
35	1591	2662374	2660820	sa_ill_sa_contig8	contig_87	92.03		True
unknown
497	3301	2665352	2662546	sa_ill_sa_contig41	contig_87	90.0		True
unknown
35	1591	2668297	2666743	sa_ill_sa_contig8	contig_87	92.03		True
unknown
497	3301	2671275	2668469	sa_ill_sa_contig41	contig_87	90.0		True
unknown
35	1591	2732839	2731285	sa_ill_sa_contig8	contig_87	91.9		True
unknown
2615	2916	2733698	2733397	sa_ill_sa_contig41	contig_87	93.38		True
unknown
1867	2316	2734447	2733998	sa_ill_sa_contig41	contig_87	90.89		True
unknown
497	1540	2735817	2734774	sa_ill_sa_contig41	contig_87	94.25		True
unknown
35	1591	2738452	2736898	sa_ill_sa_contig8	contig_87	91.9		True
unknown
497	3301	2741430	2738624	sa_ill_sa_contig41	contig_87	90.0		True
unknown
35	1591	2743453	2741899	sa_ill_sa_contig8	contig_87	91.9		True
unknown
2615	2916	2744312	2744011	sa_ill_sa_contig41	contig_87	93.38		True
unknown
1867	2316	2745061	2744612	sa_ill_sa_contig41	contig_87	90.67		True
unknown
497	1540	2746431	2745388	sa_ill_sa_contig41	contig_87	94.25		True
unknown
35	1591	3196917	3195363	sa_ill_sa_contig8	contig_87	92.03		True
unknown
2615	2916	3197776	3197475	sa_ill_sa_contig41	contig_87	93.38		True
unknown
1867	2316	3198525	3198076	sa_ill_sa_contig41	contig_87	90.89		True
unknown
497	1540	3199895	3198852	sa_ill_sa_contig41	contig_87	94.16		True
unknown
35	1591	3489682	3488128	sa_ill_sa_contig8	contig_87	92.03		True
unknown
2615	2916	3490541	3490240	sa_ill_sa_contig41	contig_87	93.38		True
unknown
1867	2316	3491290	3490841	sa_ill_sa_contig41	contig_87	90.89		True
unknown
497	1540	3492660	3491617	sa_ill_sa_contig41	contig_87	94.25		True
unknown
CONTIG	contig_87	4045599	mis_unaligned
1136	1374	604777	604539	sa_ill_sa_contig8	contig_2	92.47		True
unknown
561	1110	605352	604803	sa_ill_sa_contig8	contig_2	94.73		True
unknown
437	551	605474	605360	sa_ill_sa_contig8	contig_2	96.52		True
unknown
38	431	605873	605480	sa_ill_sa_contig8	contig_2	90.61		True
unknown
3006	3124	606501	606383	sa_ill_sa_contig41	contig_2	96.64		True
unknown
2346	2414	607157	607089	sa_ill_sa_contig41	contig_2	95.65		True
unknown
2102	2316	607401	607187	sa_ill_sa_contig41	contig_2	95.35		True
unknown
1191	1538	608303	607956	sa_ill_sa_contig41	contig_2	95.11		True
unknown
497	1095	608997	608399	sa_ill_sa_contig41	contig_2	94.66		True
unknown
110713	110836	861588	861711	sa_ill_sa_contig1	contig_2	91.94		True
unknown
497	1095	2112691	2113289	sa_ill_sa_contig41	contig_2	94.66		True
unknown
1191	1538	2113385	2113732	sa_ill_sa_contig41	contig_2	95.11		True
unknown
2102	2316	2114287	2114501	sa_ill_sa_contig41	contig_2	95.35		True
unknown
2346	2414	2114531	2114599	sa_ill_sa_contig41	contig_2	95.65		True
unknown
3006	3134	2115187	2115315	sa_ill_sa_contig41	contig_2	93.8		True
unknown
3184	3302	2115364	2115482	sa_ill_sa_contig41	contig_2	94.12		True
unknown
38	431	2115713	2116106	sa_ill_sa_contig8	contig_2	90.61		True
unknown
437	551	2116112	2116226	sa_ill_sa_contig8	contig_2	96.52		True
unknown
561	1110	2116234	2116783	sa_ill_sa_contig8	contig_2	94.73		True
unknown
1136	1374	2116809	2117047	sa_ill_sa_contig8	contig_2	92.47		True
unknown
19874	19965	2171544	2171635	sa_ill_sa_contig15	contig_2	91.3		True
unknown
20204	20310	2171874	2171980	sa_ill_sa_contig15	contig_2	94.39		True
unknown
20351	20466	2172024	2172139	sa_ill_sa_contig15	contig_2	93.1		True
unknown
1136	1374	2387837	2387599	sa_ill_sa_contig8	contig_2	92.47		True
unknown
561	1110	2388412	2387863	sa_ill_sa_contig8	contig_2	94.73		True
unknown
437	551	2388534	2388420	sa_ill_sa_contig8	contig_2	96.52		True
unknown
38	431	2388933	2388540	sa_ill_sa_contig8	contig_2	90.61		True
unknown
3184	3302	2389282	2389164	sa_ill_sa_contig41	contig_2	94.12		True
unknown
3006	3134	2389459	2389331	sa_ill_sa_contig41	contig_2	93.8		True
unknown
2346	2414	2390115	2390047	sa_ill_sa_contig41	contig_2	95.65		True
unknown
2102	2316	2390359	2390145	sa_ill_sa_contig41	contig_2	95.35		True
unknown
1191	1538	2391261	2390914	sa_ill_sa_contig41	contig_2	95.11		True
unknown
497	1095	2391955	2391357	sa_ill_sa_contig41	contig_2	94.66		True
unknown
1136	1374	2830960	2830722	sa_ill_sa_contig8	contig_2	92.47		True
unknown
561	1110	2831535	2830986	sa_ill_sa_contig8	contig_2	94.73		True
unknown
437	551	2831657	2831543	sa_ill_sa_contig8	contig_2	96.52		True
unknown
38	431	2832056	2831663	sa_ill_sa_contig8	contig_2	90.61		True
unknown
3184	3302	2832507	2832389	sa_ill_sa_contig41	contig_2	94.12		True
unknown
3006	3134	2832684	2832556	sa_ill_sa_contig41	contig_2	93.8		True
unknown
2346	2414	2833340	2833272	sa_ill_sa_contig41	contig_2	95.65		True
unknown
2102	2316	2833584	2833370	sa_ill_sa_contig41	contig_2	95.35		True
unknown
1191	1538	2834486	2834139	sa_ill_sa_contig41	contig_2	95.11		True
unknown
497	1095	2835180	2834582	sa_ill_sa_contig41	contig_2	94.66		True
unknown
785	865	2836201	2836121	sa_ill_sa_contig51	contig_2	98.77		True
unknown
691	766	2836285	2836210	sa_ill_sa_contig51	contig_2	96.05		True
unknown
585	666	2836389	2836308	sa_ill_sa_contig51	contig_2	91.46		True
unknown
491	565	2836475	2836401	sa_ill_sa_contig51	contig_2	93.33		True
unknown
CONTIG	contig_2	2845422	mis_unaligned
497	577	286084	286164	sa_ill_sa_contig41	contig_84	92.59		True
unknown
589	1151	286176	286738	sa_ill_sa_contig41	contig_84	93.25		True
unknown
1158	1540	286745	287127	sa_ill_sa_contig41	contig_84	94.78		True
unknown
1559	1639	287147	287227	sa_ill_sa_contig41	contig_84	97.53		True
unknown
1871	2057	287457	287643	sa_ill_sa_contig41	contig_84	90.37		True
unknown
2099	2316	287690	287907	sa_ill_sa_contig41	contig_84	91.74		True
unknown
2614	2917	288207	288510	sa_ill_sa_contig41	contig_84	93.09		True
unknown
2985	3136	288579	288730	sa_ill_sa_contig41	contig_84	92.11		True
unknown
38	1590	289146	290696	sa_ill_sa_contig8	contig_84	90.88		True
unknown
497	577	292103	292183	sa_ill_sa_contig41	contig_84	92.59		True
unknown
589	1151	292195	292757	sa_ill_sa_contig41	contig_84	93.25		True
unknown
1158	1540	292764	293146	sa_ill_sa_contig41	contig_84	94.78		True
unknown
1559	1639	293166	293246	sa_ill_sa_contig41	contig_84	97.53		True
unknown
1871	2057	293476	293662	sa_ill_sa_contig41	contig_84	90.37		True
unknown
2099	2316	293709	293926	sa_ill_sa_contig41	contig_84	91.74		True
unknown
2614	2917	294226	294529	sa_ill_sa_contig41	contig_84	93.09		True
unknown
2985	3136	294598	294749	sa_ill_sa_contig41	contig_84	92.11		True
unknown
38	1590	295165	296715	sa_ill_sa_contig8	contig_84	90.82		True
unknown
497	577	529654	529734	sa_ill_sa_contig41	contig_84	92.59		True
unknown
589	1151	529746	530308	sa_ill_sa_contig41	contig_84	93.25		True
unknown
1158	1540	530315	530697	sa_ill_sa_contig41	contig_84	94.78		True
unknown
1559	1639	530717	530797	sa_ill_sa_contig41	contig_84	97.53		True
unknown
1871	2057	531027	531213	sa_ill_sa_contig41	contig_84	90.37		True
unknown
2099	2316	531260	531477	sa_ill_sa_contig41	contig_84	91.74		True
unknown
2614	2917	531777	532080	sa_ill_sa_contig41	contig_84	93.09		True
unknown
2985	3136	532149	532300	sa_ill_sa_contig41	contig_84	92.11		True
unknown
38	1590	532967	534517	sa_ill_sa_contig8	contig_84	90.82		True
unknown
20320	20490	581941	582111	sa_ill_sa_contig15	contig_84	90.64		True
unknown
20702	20898	582323	582519	sa_ill_sa_contig15	contig_84	90.86		True
unknown
38	1590	1079306	1077756	sa_ill_sa_contig8	contig_84	90.82		True
unknown
2985	3136	1080124	1079973	sa_ill_sa_contig41	contig_84	92.11		True
unknown
2614	2917	1080496	1080193	sa_ill_sa_contig41	contig_84	93.09		True
unknown
2099	2316	1081013	1080796	sa_ill_sa_contig41	contig_84	91.74		True
unknown
1871	2057	1081246	1081060	sa_ill_sa_contig41	contig_84	90.37		True
unknown
1559	1639	1081556	1081476	sa_ill_sa_contig41	contig_84	97.53		True
unknown
1158	1540	1081958	1081576	sa_ill_sa_contig41	contig_84	94.78		True
unknown
589	1151	1082527	1081965	sa_ill_sa_contig41	contig_84	93.25		True
unknown
497	577	1082619	1082539	sa_ill_sa_contig41	contig_84	92.59		True
unknown
38	1590	1677819	1676269	sa_ill_sa_contig8	contig_84	90.82		True
unknown
2985	3136	1678386	1678235	sa_ill_sa_contig41	contig_84	92.11		True
unknown
2614	2917	1678758	1678455	sa_ill_sa_contig41	contig_84	93.09		True
unknown
2099	2316	1679275	1679058	sa_ill_sa_contig41	contig_84	91.74		True
unknown
1871	2057	1679508	1679322	sa_ill_sa_contig41	contig_84	90.37		True
unknown
1559	1639	1679818	1679738	sa_ill_sa_contig41	contig_84	97.53		True
unknown
1158	1540	1680220	1679838	sa_ill_sa_contig41	contig_84	94.78		True
unknown
589	1151	1680789	1680227	sa_ill_sa_contig41	contig_84	93.25		True
unknown
497	577	1680881	1680801	sa_ill_sa_contig41	contig_84	92.59		True
unknown
38	1590	1782496	1780946	sa_ill_sa_contig8	contig_84	90.82		True
unknown
2985	3136	1783063	1782912	sa_ill_sa_contig41	contig_84	92.11		True
unknown
2614	2917	1783435	1783132	sa_ill_sa_contig41	contig_84	93.09		True
unknown
2099	2316	1783952	1783735	sa_ill_sa_contig41	contig_84	91.74		True
unknown
1871	2057	1784185	1783999	sa_ill_sa_contig41	contig_84	90.37		True
unknown
1559	1639	1784495	1784415	sa_ill_sa_contig41	contig_84	97.53		True
unknown
1158	1540	1784897	1784515	sa_ill_sa_contig41	contig_84	94.78		True
unknown
589	1151	1785466	1784904	sa_ill_sa_contig41	contig_84	93.25		True
unknown
497	577	1785558	1785478	sa_ill_sa_contig41	contig_84	92.59		True
unknown
CONTIG	contig_84	2992084	mis_unaligned
671	900	806962	807191	sa_ill_sa_contig41	contig_94	90.87		True
unknown
1309	1402	807600	807693	sa_ill_sa_contig41	contig_94	96.81		True
unknown
455	542	810331	810418	sa_ill_sa_contig8	contig_94	90.91		True
unknown
590	729	810464	810603	sa_ill_sa_contig8	contig_94	91.43		True
unknown
769	840	810642	810713	sa_ill_sa_contig8	contig_94	95.83		True
unknown
671	900	1473275	1473504	sa_ill_sa_contig41	contig_94	90.87		True
unknown
1309	1402	1473913	1474006	sa_ill_sa_contig41	contig_94	96.81		True
unknown
455	542	1476658	1476745	sa_ill_sa_contig8	contig_94	90.91		True
unknown
590	729	1476791	1476930	sa_ill_sa_contig8	contig_94	91.43		True
unknown
769	840	1476969	1477040	sa_ill_sa_contig8	contig_94	95.83		True
unknown
769	840	1993544	1993473	sa_ill_sa_contig8	contig_94	95.83		True
unknown
590	729	1993722	1993583	sa_ill_sa_contig8	contig_94	91.43		True
unknown
455	542	1993855	1993768	sa_ill_sa_contig8	contig_94	90.91		True
unknown
1309	1402	1996759	1996666	sa_ill_sa_contig41	contig_94	96.81		True
unknown
671	900	1997397	1997168	sa_ill_sa_contig41	contig_94	90.87		True
unknown
769	840	2088634	2088563	sa_ill_sa_contig8	contig_94	95.83		True
unknown
590	729	2088812	2088673	sa_ill_sa_contig8	contig_94	91.43		True
unknown
455	542	2088945	2088858	sa_ill_sa_contig8	contig_94	90.91		True
unknown
1309	1402	2091690	2091597	sa_ill_sa_contig41	contig_94	96.81		True
unknown
671	900	2092328	2092099	sa_ill_sa_contig41	contig_94	90.87		True
unknown
769	840	2243876	2243805	sa_ill_sa_contig8	contig_94	95.83		True
unknown
590	729	2244054	2243915	sa_ill_sa_contig8	contig_94	91.43		True
unknown
455	542	2244187	2244100	sa_ill_sa_contig8	contig_94	90.91		True
unknown
1309	1402	2247090	2246997	sa_ill_sa_contig41	contig_94	96.81		True
unknown
671	900	2247727	2247498	sa_ill_sa_contig41	contig_94	90.87		True
unknown
769	840	2286789	2286718	sa_ill_sa_contig8	contig_94	95.83		True
unknown
590	729	2286967	2286828	sa_ill_sa_contig8	contig_94	91.43		True
unknown
455	542	2287100	2287013	sa_ill_sa_contig8	contig_94	90.91		True
unknown
1309	1402	2289845	2289752	sa_ill_sa_contig41	contig_94	96.81		True
unknown
671	900	2290483	2290254	sa_ill_sa_contig41	contig_94	90.87		True
unknown
769	840	3036359	3036288	sa_ill_sa_contig8	contig_94	95.83		True
unknown
590	729	3036537	3036398	sa_ill_sa_contig8	contig_94	91.43		True
unknown
455	542	3036670	3036583	sa_ill_sa_contig8	contig_94	90.91		True
unknown
1309	1402	3039673	3039580	sa_ill_sa_contig41	contig_94	96.81		True
unknown
671	900	3040311	3040082	sa_ill_sa_contig41	contig_94	90.87		True
unknown
CONTIG	contig_94	4758933	mis_unaligned
671	900	304116	304345	sa_ill_sa_contig41	contig_95	90.87		True
unknown
1309	1402	304753	304846	sa_ill_sa_contig41	contig_95	96.81		True
unknown
455	542	307572	307659	sa_ill_sa_contig8	contig_95	90.91		True
unknown
590	709	307705	307824	sa_ill_sa_contig8	contig_95	93.33		True
unknown
769	841	307883	307955	sa_ill_sa_contig8	contig_95	95.89		True
unknown
671	900	1012445	1012674	sa_ill_sa_contig41	contig_95	90.87		True
unknown
1309	1402	1013083	1013176	sa_ill_sa_contig41	contig_95	96.81		True
unknown
455	542	1015909	1015996	sa_ill_sa_contig8	contig_95	90.91		True
unknown
590	709	1016042	1016161	sa_ill_sa_contig8	contig_95	93.33		True
unknown
769	841	1016220	1016292	sa_ill_sa_contig8	contig_95	95.89		True
unknown
769	841	1556859	1556787	sa_ill_sa_contig8	contig_95	95.89		True
unknown
590	709	1557037	1556918	sa_ill_sa_contig8	contig_95	93.33		True
unknown
455	542	1557170	1557083	sa_ill_sa_contig8	contig_95	90.91		True
unknown
1309	1402	1559913	1559820	sa_ill_sa_contig41	contig_95	96.81		True
unknown
671	900	1560551	1560322	sa_ill_sa_contig41	contig_95	90.87		True
unknown
769	841	1650478	1650406	sa_ill_sa_contig8	contig_95	95.89		True
unknown
590	709	1650656	1650537	sa_ill_sa_contig8	contig_95	93.33		True
unknown
455	542	1650789	1650702	sa_ill_sa_contig8	contig_95	90.91		True
unknown
1309	1402	1653625	1653532	sa_ill_sa_contig41	contig_95	96.81		True
unknown
671	900	1654263	1654034	sa_ill_sa_contig41	contig_95	90.87		True
unknown
769	841	1781605	1781533	sa_ill_sa_contig8	contig_95	95.89		True
unknown
590	709	1781783	1781664	sa_ill_sa_contig8	contig_95	93.33		True
unknown
455	542	1781916	1781829	sa_ill_sa_contig8	contig_95	90.91		True
unknown
1309	1402	1784659	1784566	sa_ill_sa_contig41	contig_95	96.81		True
unknown
671	900	1785297	1785068	sa_ill_sa_contig41	contig_95	90.87		True
unknown
769	841	1823008	1822936	sa_ill_sa_contig8	contig_95	95.89		True
unknown
590	709	1823186	1823067	sa_ill_sa_contig8	contig_95	93.33		True
unknown
455	542	1823319	1823232	sa_ill_sa_contig8	contig_95	90.91		True
unknown
1309	1402	1826062	1825969	sa_ill_sa_contig41	contig_95	96.81		True
unknown
671	900	1826699	1826470	sa_ill_sa_contig41	contig_95	90.87		True
unknown
769	841	2470839	2470767	sa_ill_sa_contig8	contig_95	95.89		True
unknown
590	709	2471017	2470898	sa_ill_sa_contig8	contig_95	93.33		True
unknown
455	542	2471150	2471063	sa_ill_sa_contig8	contig_95	90.91		True
unknown
1309	1402	2473985	2473892	sa_ill_sa_contig41	contig_95	96.81		True
unknown
671	900	2474622	2474393	sa_ill_sa_contig41	contig_95	90.87		True
unknown
CONTIG	contig_95	4765358	mis_unaligned
589	1095	205513	206019	sa_ill_sa_contig41	scaffold_228	95.66		True
unknown
1150	1543	206074	206467	sa_ill_sa_contig41	scaffold_228	90.61		True
unknown
2105	2299	207022	207216	sa_ill_sa_contig41	scaffold_228	93.33		True
unknown
2342	2421	207259	207338	sa_ill_sa_contig41	scaffold_228	90.0		True
unknown
3008	3122	207928	208042	sa_ill_sa_contig41	scaffold_228	91.3		True
unknown
471	545	209052	209126	sa_ill_sa_contig8	scaffold_228	98.67		True
unknown
567	826	209146	209405	sa_ill_sa_contig8	scaffold_228	91.54		True
unknown
589	1095	282606	283112	sa_ill_sa_contig41	scaffold_228	95.66		True
unknown
1150	1543	283167	283560	sa_ill_sa_contig41	scaffold_228	90.61		True
unknown
2105	2299	284115	284309	sa_ill_sa_contig41	scaffold_228	93.33		True
unknown
2342	2421	284352	284431	sa_ill_sa_contig41	scaffold_228	91.25		True
unknown
3008	3122	285021	285135	sa_ill_sa_contig41	scaffold_228	90.43		True
unknown
471	545	285938	286012	sa_ill_sa_contig8	scaffold_228	98.67		True
unknown
567	826	286032	286291	sa_ill_sa_contig8	scaffold_228	91.54		True
unknown
496	1095	318026	318625	sa_ill_sa_contig41	scaffold_228	93.33		True
unknown
1150	1543	318680	319073	sa_ill_sa_contig41	scaffold_228	90.61		True
unknown
2105	2299	319628	319822	sa_ill_sa_contig41	scaffold_228	93.33		True
unknown
2342	2421	319865	319944	sa_ill_sa_contig41	scaffold_228	90.0		True
unknown
3008	3122	320534	320648	sa_ill_sa_contig41	scaffold_228	91.3		True
unknown
471	545	321463	321537	sa_ill_sa_contig8	scaffold_228	98.67		True
unknown
567	826	321557	321816	sa_ill_sa_contig8	scaffold_228	91.54		True
unknown
