All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
LG50                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
L75                          5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                
LG75                         1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
# misassemblies              15                15                      15                       15                       15                      15                      19                 15                16                      15                       15                       15                      15                      18                 15                16                      15                       15                       15                      15                      18               
# misassembled contigs       1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
Misassembled contigs length  4758942           4758045                 4758082                  4757996                  4757676                 4757433                 4756098            4758934           4757811                 4759010                  4758465                  4757950                 4757851                 4756089            4758933           4757839                 4759025                  4758469                  4757998                 4757867                 4756074          
# local misassemblies        8                 8                       7                        7                        8                       7                       20                 8                 8                       8                        7                        8                       8                       22                 8                 8                       8                        7                        8                       8                       20               
# scaffold gap ext. mis.     0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# scaffold gap loc. mis.     0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                  0                 0                       0                        0                        0                       0                       0                
# unaligned mis. contigs     6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                  6                 6                       6                        6                        6                       6                       6                
# unaligned contigs          0 + 7 part        0 + 7 part              0 + 7 part               0 + 7 part               0 + 7 part              0 + 7 part              0 + 7 part         0 + 7 part        0 + 7 part              0 + 7 part               0 + 7 part               0 + 7 part              0 + 7 part              0 + 7 part         0 + 7 part        0 + 7 part              0 + 7 part               0 + 7 part               0 + 7 part              0 + 7 part              0 + 7 part       
Unaligned length             19036922          19032575                19037152                 19028552                 19022583                19014683                23175629           19037407          19034250                19036354                 19027194                 19025633                19017988                23176116           19041213          19034298                19039111                 19031709                 19026842                19018766                23177021         
Genome fraction (%)          98.918            98.920                  98.920                   98.920                   98.920                  98.920                  98.894             98.918            98.919                  98.920                   98.920                   98.920                  98.920                  98.896             98.918            98.919                  98.920                   98.920                   98.920                  98.920                  98.896           
Duplication ratio            1.075             1.075                   1.074                    1.074                    1.075                   1.076                   1.057              1.075             1.075                   1.075                    1.075                    1.074                   1.075                   1.057              1.075             1.075                   1.075                    1.075                    1.075                   1.076                   1.058            
# N's per 100 kbp            0.00              0.04                    0.00                     0.00                     0.00                    0.00                    0.00               0.00              0.00                    0.00                     0.00                     0.00                    0.00                    0.00               0.00              0.00                    0.00                     0.00                     0.00                    0.00                    0.36             
# mismatches per 100 kbp     415.61            412.85                  406.27                   406.74                   419.10                  426.16                  461.64             412.19            409.33                  413.98                   415.58                   409.69                  416.88                  462.06             411.57            409.16                  416.13                   417.50                   416.09                  422.81                  464.52           
# indels per 100 kbp         21.11             15.22                   11.16                    11.22                    40.50                   37.17                   224.45             21.15             16.26                   23.00                    22.81                    39.52                   37.20                   224.32             20.87             15.96                   23.30                    22.96                    39.69                   36.90                   225.45           
Largest alignment            2147343           2147007                 2147107                  2147023                  2147099                 2146784                 1864181            1342502           1342445                 1342625                  1342628                  1342266                 1342305                 1341457            1342502           1342444                 1342628                  1342618                  1342279                 1342297                 1341457          
Total aligned length         5035509           5035108                 5032339                  5032521                  5035917                 5038966                 4951958            5034741           5034074                 5036417                  5036294                  5032658                 5035452                 4951489            5034624           5034098                 5037070                  5037135                  5034971                 5037946                 4953501          
NGA50                        613187            613135                  613152                   613150                   613070                  613072                  612982             745393            745356                  745429                   745422                   745296                  745265                  744988             745393            745355                  745435                   745424                   745286                  745274                  744979           
NGA75                        520322            520294                  520304                   520304                   520214                  520249                  373736             611508            611476                  611574                   611566                   611445                  611452                  433868             611507            611503                  611578                   611575                   611454                  611450                  433862           
LGA50                        2                 2                       2                        2                        2                       2                       2                  3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                
LGA75                        4                 4                       4                        4                        4                       4                       5                  5                 5                       5                        5                        5                       5                       5                  5                 5                       5                        5                        5                       5                       5                
